loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,credit_age_months,term,grade,sub_grade,emp_length,home_ownership,verification_status,purpose,addr_state,target,text_prompt
24000,10.72,782.56,45000.0,24.16,1,680.0,0,4,0,41160,64.9,11,433,36,B,B2,0,OWN,Not Verified,home_improvement,TX,0,"이 대출 신청자는 연소득 45,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 24,000달러, 대출 기간은 36개월이며, 적용 금리는 10.72%입니다. 매월 납입해야 하는 상환 원리금은 783달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 433개월(약 36.1년)입니다. 총 부채상환비율(DTI)은 24.16%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 4개이고, 전체 신용 한도 대비 사용률(revol_util)은 64.90%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 주택 개량입니다."
16800,7.02,518.89,130000.0,9.48,0,680.0,0,16,0,15415,14.2,20,25,36,A,A2,0,RENT,Source Verified,debt_consolidation,WA,0,"이 대출 신청자는 연소득 130,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 16,800달러, 대출 기간은 36개월이며, 적용 금리는 7.02%입니다. 매월 납입해야 하는 상환 원리금은 519달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 25개월(약 2.1년)입니다. 총 부채상환비율(DTI)은 9.48%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 16개이고, 전체 신용 한도 대비 사용률(revol_util)은 14.20%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
11200,11.8,370.94,60000.0,5.28,0,680.0,0,5,0,2523,29.7,13,50,36,B,B4,10,RENT,Source Verified,debt_consolidation,KS,0,"이 대출 신청자는 연소득 60,000달러이며, 재직 기간은 10년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 11,200달러, 대출 기간은 36개월이며, 적용 금리는 11.80%입니다. 매월 납입해야 하는 상환 원리금은 371달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 50개월(약 4.2년)입니다. 총 부채상환비율(DTI)은 5.28%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 5개이고, 전체 신용 한도 대비 사용률(revol_util)은 29.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
8000,11.31,263.09,230000.0,10.74,0,680.0,0,24,0,34477,27.8,52,207,36,B,B3,3,RENT,Source Verified,home_improvement,KY,0,"이 대출 신청자는 연소득 230,000달러이며, 재직 기간은 3년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 8,000달러, 대출 기간은 36개월이며, 적용 금리는 11.31%입니다. 매월 납입해야 하는 상환 원리금은 263달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 207개월(약 17.2년)입니다. 총 부채상환비율(DTI)은 10.74%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 24개이고, 전체 신용 한도 대비 사용률(revol_util)은 27.80%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 주택 개량입니다."
5600,12.98,188.64,38000.0,17.26,0,680.0,0,9,0,3795,19.5,14,11,36,B,B5,8,OWN,Not Verified,debt_consolidation,NM,0,"이 대출 신청자는 연소득 38,000달러이며, 재직 기간은 8년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 5,600달러, 대출 기간은 36개월이며, 적용 금리는 12.98%입니다. 매월 납입해야 하는 상환 원리금은 189달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 11개월(약 0.9년)입니다. 총 부채상환비율(DTI)은 17.26%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 9개이고, 전체 신용 한도 대비 사용률(revol_util)은 19.50%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
6500,18.94,238.07,95000.0,16.84,0,680.0,0,19,0,5319,21.7,33,163,36,D,D2,10,OWN,Source Verified,debt_consolidation,PA,0,"이 대출 신청자는 연소득 95,000달러이며, 재직 기간은 10년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 6,500달러, 대출 기간은 36개월이며, 적용 금리는 18.94%입니다. 매월 납입해야 하는 상환 원리금은 238달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 163개월(약 13.6년)입니다. 총 부채상환비율(DTI)은 16.84%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 19개이고, 전체 신용 한도 대비 사용률(revol_util)은 21.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
40000,12.98,1347.38,82000.0,15.83,0,680.0,1,12,0,22881,37.4,15,35,36,B,B5,0,OWN,Not Verified,credit_card,NY,1,"이 대출 신청자는 연소득 82,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 40,000달러, 대출 기간은 36개월이며, 적용 금리는 12.98%입니다. 매월 납입해야 하는 상환 원리금은 1,347달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 35개월(약 2.9년)입니다. 총 부채상환비율(DTI)은 15.83%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 12개이고, 전체 신용 한도 대비 사용률(revol_util)은 37.40%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
12000,6.46,367.57,24000.0,29.4,0,680.0,0,14,0,13591,0.0,14,27,36,A,A1,2,OWN,Source Verified,credit_card,NY,0,"이 대출 신청자는 연소득 24,000달러이며, 재직 기간은 2년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 12,000달러, 대출 기간은 36개월이며, 적용 금리는 6.46%입니다. 매월 납입해야 하는 상환 원리금은 368달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 27개월(약 2.2년)입니다. 총 부채상환비율(DTI)은 29.40%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 14개이고, 전체 신용 한도 대비 사용률(revol_util)은 0.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
3600,11.31,118.39,100000.0,0.02,0,680.0,0,13,0,0,0.0,13,16,36,B,B3,0,RENT,Not Verified,debt_consolidation,NY,0,"이 대출 신청자는 연소득 100,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 3,600달러, 대출 기간은 36개월이며, 적용 금리는 11.31%입니다. 매월 납입해야 하는 상환 원리금은 118달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 16개월(약 1.3년)입니다. 총 부채상환비율(DTI)은 0.02%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 13개이고, 전체 신용 한도 대비 사용률(revol_util)은 0.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
3000,13.56,101.9,30000.0,17.6,0,680.0,2,7,0,1791,9.3,20,48,36,C,C1,6,RENT,Not Verified,car,CA,0,"이 대출 신청자는 연소득 30,000달러이며, 재직 기간은 6년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 3,000달러, 대출 기간은 36개월이며, 적용 금리는 13.56%입니다. 매월 납입해야 하는 상환 원리금은 102달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 48개월(약 4.0년)입니다. 총 부채상환비율(DTI)은 17.60%입니다. 최근 6개월간 신용조회 건수는 2건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 7개이고, 전체 신용 한도 대비 사용률(revol_util)은 9.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 자동차 구입입니다."
5000,16.91,178.04,33000.0,23.45,0,680.0,0,4,0,3883,97.0,8,13,36,C,C5,1,RENT,Source Verified,debt_consolidation,UT,1,"이 대출 신청자는 연소득 33,000달러이며, 재직 기간은 1년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 5,000달러, 대출 기간은 36개월이며, 적용 금리는 16.91%입니다. 매월 납입해야 하는 상환 원리금은 178달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 13개월(약 1.1년)입니다. 총 부채상환비율(DTI)은 23.45%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 4개이고, 전체 신용 한도 대비 사용률(revol_util)은 97.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
10000,12.98,227.43,69000.0,23.84,0,680.0,0,11,0,18473,53.7,35,219,60,B,B5,10,RENT,Not Verified,debt_consolidation,OH,0,"이 대출 신청자는 연소득 69,000달러이며, 재직 기간은 10년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 10,000달러, 대출 기간은 60개월이며, 적용 금리는 12.98%입니다. 매월 납입해야 하는 상환 원리금은 227달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 219개월(약 18.2년)입니다. 총 부채상환비율(DTI)은 23.84%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 11개이고, 전체 신용 한도 대비 사용률(revol_util)은 53.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
10000,8.81,317.12,33230.0,14.08,0,680.0,2,10,1,49,0.3,23,146,36,A,A5,1,RENT,Source Verified,debt_consolidation,FL,0,"이 대출 신청자는 연소득 33,230달러이며, 재직 기간은 1년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 10,000달러, 대출 기간은 36개월이며, 적용 금리는 8.81%입니다. 매월 납입해야 하는 상환 원리금은 317달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 146개월(약 12.2년)입니다. 총 부채상환비율(DTI)은 14.08%입니다. 최근 6개월간 신용조회 건수는 2건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 0.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 1건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
15000,18.94,388.62,35000.0,9.43,0,680.0,0,15,1,8037,23.6,20,50,60,D,D2,10,OWN,Verified,debt_consolidation,NC,0,"이 대출 신청자는 연소득 35,000달러이며, 재직 기간은 10년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 15,000달러, 대출 기간은 60개월이며, 적용 금리는 18.94%입니다. 매월 납입해야 하는 상환 원리금은 389달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 50개월(약 4.2년)입니다. 총 부채상환비율(DTI)은 9.43%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 15개이고, 전체 신용 한도 대비 사용률(revol_util)은 23.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 1건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
28000,12.98,636.8,118500.0,19.51,0,680.0,0,12,0,8637,21.0,27,305,60,B,B5,10,MORTGAGE,Not Verified,debt_consolidation,NY,0,"이 대출 신청자는 연소득 118,500달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 28,000달러, 대출 기간은 60개월이며, 적용 금리는 12.98%입니다. 매월 납입해야 하는 상환 원리금은 637달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 305개월(약 25.4년)입니다. 총 부채상환비율(DTI)은 19.51%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 12개이고, 전체 신용 한도 대비 사용률(revol_util)은 21.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
6025,18.94,220.67,36000.0,3.02,1,680.0,1,14,0,376,1.2,21,131,36,D,D2,3,RENT,Source Verified,debt_consolidation,MA,0,"이 대출 신청자는 연소득 36,000달러이며, 재직 기간은 3년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 6,025달러, 대출 기간은 36개월이며, 적용 금리는 18.94%입니다. 매월 납입해야 하는 상환 원리금은 221달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 131개월(약 10.9년)입니다. 총 부채상환비율(DTI)은 3.02%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 14개이고, 전체 신용 한도 대비 사용률(revol_util)은 1.20%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
10000,22.35,278.19,80000.0,3.9,0,680.0,0,5,0,7017,95.0,8,134,60,D,D5,2,RENT,Source Verified,credit_card,NY,0,"이 대출 신청자는 연소득 80,000달러이며, 재직 기간은 2년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 10,000달러, 대출 기간은 60개월이며, 적용 금리는 22.35%입니다. 매월 납입해야 하는 상환 원리금은 278달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 134개월(약 11.2년)입니다. 총 부채상환비율(DTI)은 3.90%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 5개이고, 전체 신용 한도 대비 사용률(revol_util)은 95.00%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
12000,17.97,304.53,100000.0,22.76,0,680.0,0,10,0,28339,23.1,29,185,60,D,D1,9,RENT,Not Verified,debt_consolidation,CO,0,"이 대출 신청자는 연소득 100,000달러이며, 재직 기간은 9년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 12,000달러, 대출 기간은 60개월이며, 적용 금리는 17.97%입니다. 매월 납입해야 하는 상환 원리금은 305달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 185개월(약 15.4년)입니다. 총 부채상환비율(DTI)은 22.76%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 10개이고, 전체 신용 한도 대비 사용률(revol_util)은 23.10%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
1000,25.34,39.94,29848.0,6.71,0,680.0,0,3,0,3016,125.7,4,14,36,E,E3,0,RENT,Source Verified,other,OH,0,"이 대출 신청자는 연소득 29,848달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Source Verified입니다. 신청한 대출 금액은 1,000달러, 대출 기간은 36개월이며, 적용 금리는 25.34%입니다. 매월 납입해야 하는 상환 원리금은 40달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 14개월(약 1.2년)입니다. 총 부채상환비율(DTI)은 6.71%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 3개이고, 전체 신용 한도 대비 사용률(revol_util)은 125.70%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 기타 목적입니다."
35000,11.06,762.04,118000.0,14.67,0,680.0,0,26,0,41350,36.3,31,50,60,B,B3,0,MORTGAGE,Not Verified,debt_consolidation,AZ,1,"이 대출 신청자는 연소득 118,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 35,000달러, 대출 기간은 60개월이며, 적용 금리는 11.06%입니다. 매월 납입해야 하는 상환 원리금은 762달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 50개월(약 4.2년)입니다. 총 부채상환비율(DTI)은 14.67%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 26개이고, 전체 신용 한도 대비 사용률(revol_util)은 36.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
20000,10.33,648.45,115000.0,16.01,0,680.0,0,27,0,21603,28.5,47,110,36,B,B1,10,MORTGAGE,Not Verified,debt_consolidation,CA,0,"이 대출 신청자는 연소득 115,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 20,000달러, 대출 기간은 36개월이며, 적용 금리는 10.33%입니다. 매월 납입해야 하는 상환 원리금은 648달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 110개월(약 9.2년)입니다. 총 부채상환비율(DTI)은 16.01%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 27개이고, 전체 신용 한도 대비 사용률(revol_util)은 28.50%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
8000,10.47,259.91,40000.0,47.58,0,680.0,1,15,0,90350,13.8,40,139,36,B,B2,10,OWN,Not Verified,major_purchase,OH,0,"이 대출 신청자는 연소득 40,000달러이며, 재직 기간은 10년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 8,000달러, 대출 기간은 36개월이며, 적용 금리는 10.47%입니다. 매월 납입해야 하는 상환 원리금은 260달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 139개월(약 11.6년)입니다. 총 부채상환비율(DTI)은 47.58%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 15개이고, 전체 신용 한도 대비 사용률(revol_util)은 13.80%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 주요 물품 구입입니다."
4800,16.91,170.92,40000.0,13.2,0,680.0,0,5,0,6685,79.6,8,80,36,C,C5,3,RENT,Not Verified,credit_card,WI,0,"이 대출 신청자는 연소득 40,000달러이며, 재직 기간은 3년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 4,800달러, 대출 기간은 36개월이며, 적용 금리는 16.91%입니다. 매월 납입해야 하는 상환 원리금은 171달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 80개월(약 6.7년)입니다. 총 부채상환비율(DTI)은 13.20%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 5개이고, 전체 신용 한도 대비 사용률(revol_util)은 79.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
15000,7.02,463.3,100000.0,1.0,0,680.0,0,5,1,5474,19.3,10,63,36,A,A2,10,RENT,Not Verified,debt_consolidation,TX,0,"이 대출 신청자는 연소득 100,000달러이며, 재직 기간은 10년입니다. 주거 형태는 월세(임차)이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 15,000달러, 대출 기간은 36개월이며, 적용 금리는 7.02%입니다. 매월 납입해야 하는 상환 원리금은 463달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 63개월(약 5.2년)입니다. 총 부채상환비율(DTI)은 1.00%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 5개이고, 전체 신용 한도 대비 사용률(revol_util)은 19.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 1건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
2500,17.97,90.35,82000.0,24.47,1,680.0,0,16,0,26722,67.3,42,201,36,D,D1,10,MORTGAGE,Verified,medical,AL,0,"이 대출 신청자는 연소득 82,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 2,500달러, 대출 기간은 36개월이며, 적용 금리는 17.97%입니다. 매월 납입해야 하는 상환 원리금은 90달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 201개월(약 16.8년)입니다. 총 부채상환비율(DTI)은 24.47%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 1건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 16개이고, 전체 신용 한도 대비 사용률(revol_util)은 67.30%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 의료비입니다."
12000,10.33,256.92,53600.0,12.54,0,680.0,0,11,0,21194,51.9,31,89,60,B,B1,2,OWN,Not Verified,credit_card,MI,0,"이 대출 신청자는 연소득 53,600달러이며, 재직 기간은 2년입니다. 주거 형태는 자가 소유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 12,000달러, 대출 기간은 60개월이며, 적용 금리는 10.33%입니다. 매월 납입해야 하는 상환 원리금은 257달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 89개월(약 7.4년)입니다. 총 부채상환비율(DTI)은 12.54%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 11개이고, 전체 신용 한도 대비 사용률(revol_util)은 51.90%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 신용카드 대금 상환입니다."
3000,20.89,112.86,38000.0,6.38,0,680.0,1,8,0,3106,21.6,8,24,36,D,D4,10,MORTGAGE,Verified,other,CO,0,"이 대출 신청자는 연소득 38,000달러이며, 재직 기간은 10년입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Verified입니다. 신청한 대출 금액은 3,000달러, 대출 기간은 36개월이며, 적용 금리는 20.89%입니다. 매월 납입해야 하는 상환 원리금은 113달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 24개월(약 2.0년)입니다. 총 부채상환비율(DTI)은 6.38%입니다. 최근 6개월간 신용조회 건수는 1건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 8개이고, 전체 신용 한도 대비 사용률(revol_util)은 21.60%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 기타 목적입니다."
15000,11.8,332.16,205000.0,14.04,0,680.0,0,16,0,14426,18.1,45,187,60,B,B4,0,MORTGAGE,Not Verified,debt_consolidation,TX,0,"이 대출 신청자는 연소득 205,000달러이며, 재직 기간은 1년 미만 또는 미상입니다. 주거 형태는 주택담보대출 보유이며, 신용카드 대금 등을 검증한 결과 소득 검증 여부는 Not Verified입니다. 신청한 대출 금액은 15,000달러, 대출 기간은 60개월이며, 적용 금리는 11.80%입니다. 매월 납입해야 하는 상환 원리금은 332달러입니다. FICO 신용 점수는 680점이고, 총 신용 연령은 187개월(약 15.6년)입니다. 총 부채상환비율(DTI)은 14.04%입니다. 최근 6개월간 신용조회 건수는 0건이고, 과거 2년간 30일 이상 연체 이력은 0건입니다. 현재 보유하고 있는 개설된 신용계좌 수는 16개이고, 전체 신용 한도 대비 사용률(revol_util)은 18.10%입니다. 기존 대출 및 연체 등의 법적 공공기록(pub_rec) 건수는 0건입니다. 이번 대출의 신청 목적은 부채 통합(대환)입니다."
